tf,fft_window,low_pct,high_pct,min_period,sl_atr_mult,rr,session_label,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,total_trades,total_longs,total_shorts,avg_bars
M1,64,0.1,0.3,5,1.0,3.0,london,19450,25.7,1.0388,91.34,1341.61,96149,26.17,1.0655,85.92,5905122634562284.0,115599,57849,57750,7.116825405064058
M1,64,0.05,0.3,5,1.0,4.0,london,19422,20.56,1.0416,91.1,1113.94,95110,20.93,1.0654,92.25,696920855188119.4,114532,57299,57233,9.61695770614326
M1,64,0.1,0.3,5,1.0,4.0,london,19450,20.55,1.0416,88.43,1109.19,96149,20.93,1.0649,95.56,679029731645007.4,115599,57849,57750,9.616825405064057
M15,256,0.05,0.2,10,1.5,2.0,asian,190,37.37,1.1933,14.3,23.37,970,34.74,1.0648,23.45,36.56,1160,563,597,6.3310344827586205
M15,256,0.1,0.3,5,1.0,4.0,asian,1016,20.08,1.0049,40.16,-14.77,5154,21.01,1.0644,56.61,381.23,6170,3078,3092,5.782333873581847
M15,256,0.1,0.3,10,1.0,3.0,all,595,26.05,1.0568,27.97,17.29,3094,26.18,1.0639,44.9,168.5,3689,1839,1850,10.516129032258064
M5,64,0.05,0.3,10,1.0,4.0,london,1151,18.07,0.8832,81.66,-73.0,6133,20.98,1.0636,82.05,525.53,7284,3677,3607,19.436792970895112
M1,64,0.1,0.3,10,1.0,3.0,london,5537,25.52,1.0286,76.23,41.79,27288,26.14,1.063,81.02,506480.26,32825,16411,16414,7.1
M15,256,0.05,0.3,10,1.5,2.0,newyork,213,34.74,1.0647,13.46,7.08,1099,34.67,1.0628,21.51,40.31,1312,673,639,21.05907012195122
M15,64,0.05,0.2,5,1.5,4.0,asian,1012,20.55,1.0348,51.81,8.05,4886,20.96,1.0625,52.8,312.87,5898,2939,2959,13.623058663953882
M1,64,0.05,0.2,10,1.0,2.0,asian,5177,34.27,1.0426,53.68,153.09,25222,34.68,1.062,57.92,212958.26,30399,15218,15181,3.9340603309319384
